[P0] Style:Heading 1 | （简）路演展示架构 v1.0：情绪冰仓项目
[P2] Style:Normal | 时长：6—8 分钟
[P3] Style:Normal | 页数：10 页，含封面与结尾
[P4] Style:Normal | 叙事：市场机会、用户情绪时刻、现有缺口、产品定位、情绪旅程、完整方案、技术与分级、商业与成本、收敛结论

=== TABLE 0 ===
  Row0: 页码 | 名称/标题 | 目的与核心内容 | 呈现形式
  Row1: 1  | 情绪冰仓：一杯饮尽松弛感 | 建立产品第一印象。副标题写“青年居家冰饮的场景化储存设备”，标注Chillo（候选名）。 | Glow 首发主效果图占 70%，一句话定位占 30%；无数据图
  Row2: 2  | 市场调研：冰饮进入居家情绪时刻 | 证明冰饮、渠道和居家场景已经交汇。只讲饮料零售增长、即时零售和场景选择三点。 | 左侧三项数据；右侧“居家休闲/情绪疗愈/朋友聚会”场景气泡；底部一句产品影响
  Row3: 3  | 用户场景 | 锁定城市独居与二人居、高频居家娱乐、功能补水和轻社交人群；突出追剧、宅家、运动后、微醺。 | 上部 3 类首发用户卡；下部一天时间轴 + 场景热词；右侧一条用户原话
  Row4: 4  | 现有产品缺口 | 展示主冰箱、冰吧、小冰箱和酒柜的边界；用差评证明噪声、温控、门体、结霜与凝露仍然存在。 | 左侧四类产品边界；中部价格—容量散点；右侧痛点和两条短评（可截取笔记）
  Row5: 5  | 产品定位：把冰饮准备成一种情绪响应 | 给出一句话定位；说明期待、确定、松弛、仪式、归属五类价值。把差异落在温度、分区、声学、触感、灯光和家居融入。 | 中心放一句话定位；周围五个情绪价值环；底部“证据 -> 产品动作”短链
  Row6: 6  | 用户心理旅程：情绪从想喝得到满足 | 说明设备在触发、选择、靠近、看见、拿取、饮用、补货和清洁八个阶段的作用。重点讲靠近、定位、拿取、饮用四个高价值触点。 | 一条横向八阶段旅程；四个重点节点放局部产品图；情绪曲线用“期待—确定—放松—归属”表达
  Row7: 7 | 产品首发方案：温度、动线、光与声一起工作 | 圆柱Pro版；完整展示双温、高频顺手区、低噪、Low-E 展示门、可重组隔板、海尔智家和四种基础模式。 | 左侧 pro 剖切图；右上硬件架构；右下日常 Chill、追剧、补水、微醺四模式效果矩阵
  Row8: 8 | 产品的三档配置 | Lite/Glow/Pro 负责价格与功能分级。明确 Glow 首发，Lite 下探，Pro 储备。 | 上部方形/圆柱对比；下部三档产品家族阶梯；用 ✓、○、— 标示功能，不放长参数表
  Row9: 9 | 市场营销策略 | 说明用户如何看到、理解、体验、购买和持续使用；压缩展示商业模式画布的客户、价值、渠道、伙伴与收入。 | 主图采用“种草→理解→体验→成交→复用/联名”；右侧放五块压缩商业画布
  Row10: 10 | 成本与风险 | 用竞品价格带、公开成本锚点和风险矩阵说明落地路径。结论聚焦：先确定形态、完成 Glow 核心验证、获取供应链 RFQ(可能的话)。 | 成本阶梯；风险矩阵等
